NAME : egl-e1-B
VERTICES : 77
EDG_REQ : 51
EDG_NONREQ : 47
VEHICLES : 7
CAPACITY : 220
DEPOT : 0
STARTTIME : 0
ENDTIME : 420
SERVICE_SPEED_FACTOR : 0.70
[NETWORK_DATA]
0 1 10 32 7 [ 63 126 147 273 294 315 ] [ 0.67 0.74 1.09 0.92 1.27 0.76 0.75 ]
1 0 10 32 7 [ 42 189 231 273 315 357 ] [ 0.64 0.78 1.23 1.14 1.34 0.93 0.58 ]
1 2 5 14 7 [ 63 315 336 357 378 399 ] [ 0.69 0.86 1.14 1.10 1.35 0.74 0.52 ]
2 1 5 14 7 [ 105 126 168 252 336 378 ] [ 0.67 0.77 1.21 1.12 1.10 0.84 0.78 ]
1 3 6 17 7 [ 63 147 168 273 294 378 ] [ 0.60 0.70 1.37 1.09 1.19 0.70 0.69 ]
3 1 6 17 7 [ 42 126 231 315 336 357 ] [ 0.80 0.92 1.08 0.91 1.16 0.70 0.68 ]
3 4 17 56 7 [ 84 126 147 189 210 294 ] [ 0.57 0.70 1.08 1.05 1.31 0.94 0.79 ]
4 3 17 56 7 [ 21 42 84 126 252 399 ] [ 0.73 0.96 1.18 0.81 1.24 0.81 0.59 ]
8 9 7 20 7 [ 63 105 168 336 378 399 ] [ 0.56 0.89 1.07 0.96 1.38 0.90 0.78 ]
9 8 7 20 7 [ 84 126 231 273 294 336 ] [ 0.75 0.85 1.01 1.00 1.18 0.98 0.71 ]
10 11 10 32 7 [ 21 84 147 252 294 315 ] [ 0.54 0.85 1.36 0.80 1.04 0.84 0.65 ]
11 10 10 32 7 [ 84 105 189 252 315 378 ] [ 0.60 0.84 1.28 0.81 1.18 0.96 0.66 ]
11 15 9 29 7 [ 63 84 147 189 252 378 ] [ 0.51 0.95 1.23 1.16 1.02 0.76 0.71 ]
15 11 9 29 7 [ 84 231 252 315 357 399 ] [ 0.58 0.98 1.08 1.00 1.21 0.85 0.70 ]
12 15 5 13 7 [ 42 63 84 273 336 378 ] [ 0.64 0.83 1.07 1.09 1.13 0.91 0.76 ]
15 12 5 13 7 [ 42 63 84 126 168 336 ] [ 0.71 0.74 1.38 0.98 1.16 0.99 0.65 ]
12 13 3 7 7 [ 84 105 126 231 252 294 ] [ 0.51 0.91 1.15 0.87 1.15 0.71 0.67 ]
13 12 3 7 7 [ 21 42 168 315 357 399 ] [ 0.67 0.91 1.26 0.96 1.01 0.93 0.80 ]
14 16 8 26 7 [ 21 42 231 315 336 357 ] [ 0.53 0.95 1.35 1.07 1.08 0.74 0.58 ]
16 14 8 26 7 [ 21 63 231 252 294 315 ] [ 0.77 0.94 1.15 1.12 1.09 0.88 0.73 ]
14 17 12 38 7 [ 42 63 84 126 189 378 ] [ 0.79 0.76 1.33 1.15 1.13 0.97 0.78 ]
17 14 12 38 7 [ 84 105 126 168 378 399 ] [ 0.56 0.75 1.09 0.94 1.27 0.71 0.71 ]
17 18 12 41 7 [ 126 147 273 294 315 357 ] [ 0.72 0.71 1.22 0.88 1.08 0.96 0.71 ]
18 17 12 41 7 [ 84 168 189 231 252 357 ] [ 0.77 0.86 1.36 1.11 1.01 0.99 0.63 ]
18 19 10 32 7 [ 21 189 252 294 315 378 ] [ 0.58 0.87 1.26 1.05 1.03 0.73 0.55 ]
19 18 10 32 7 [ 21 42 63 126 168 315 ] [ 0.52 0.88 1.31 1.13 1.38 0.95 0.64 ]
18 20 12 38 7 [ 21 63 105 315 357 399 ] [ 0.65 0.97 1.05 0.85 1.15 0.88 0.62 ]
20 18 12 38 7 [ 42 105 252 273 315 378 ] [ 0.68 0.99 1.02 0.94 1.17 0.73 0.55 ]
20 21 6 17 7 [ 21 189 231 273 294 336 ] [ 0.74 0.98 1.12 1.07 1.17 0.95 0.79 ]
21 20 6 17 7 [ 168 189 231 252 315 357 ] [ 0.55 0.82 1.35 1.09 1.12 0.80 0.54 ]
21 74 8 24 7 [ 42 105 147 315 378 399 ] [ 0.79 0.73 1.40 0.86 1.23 0.81 0.71 ]
74 21 8 24 7 [ 42 126 168 273 357 378 ] [ 0.73 0.84 1.22 0.81 1.30 0.86 0.63 ]
22 30 12 40 7 [ 21 63 210 273 336 378 ] [ 0.63 0.94 1.36 1.07 1.37 0.86 0.57 ]
30 22 12 40 7 [ 21 63 84 189 210 315 ] [ 0.63 0.94 1.22 0.82 1.26 0.83 0.51 ]
30 31 17 58 7 [ 42 63 126 147 189 231 ] [ 0.74 0.87 1.20 1.01 1.26 0.78 0.60 ]
31 30 17 58 7 [ 84 189 315 336 357 399 ] [ 0.74 0.77 1.02 1.09 1.18 0.75 0.77 ]
31 32 9 30 7 [ 21 105 147 294 378 399 ] [ 0.53 0.75 1.36 0.92 1.26 0.98 0.55 ]
32 31 9 30 7 [ 21 105 147 210 231 399 ] [ 0.78 0.87 1.13 1.06 1.08 0.92 0.74 ]
31 33 13 43 7 [ 84 105 273 315 357 399 ] [ 0.77 0.74 1.05 1.08 1.26 0.72 0.61 ]
33 31 13 43 7 [ 84 189 210 273 336 378 ] [ 0.51 0.90 1.28 0.85 1.13 0.79 0.69 ]
31 34 25 86 7 [ 84 126 294 336 357 399 ] [ 0.62 0.96 1.25 1.08 1.01 0.82 0.67 ]
34 31 25 86 7 [ 21 84 210 231 273 399 ] [ 0.67 0.92 1.27 1.14 1.31 0.72 0.58 ]
34 40 5 15 7 [ 42 63 105 189 294 399 ] [ 0.61 0.88 1.01 0.91 1.07 0.83 0.58 ]
40 34 5 15 7 [ 42 63 84 105 168 378 ] [ 0.65 0.89 1.03 0.85 1.03 0.77 0.60 ]
42 43 23 78 7 [ 21 42 210 231 294 357 ] [ 0.51 0.94 1.32 0.87 1.09 0.96 0.74 ]
43 42 23 78 7 [ 42 84 105 126 147 273 ] [ 0.61 0.85 1.26 0.88 1.34 0.94 0.60 ]
43 44 4 12 7 [ 84 105 147 231 252 357 ] [ 0.59 0.72 1.13 1.19 1.38 0.75 0.79 ]
44 43 4 12 7 [ 21 63 84 231 273 294 ] [ 0.52 0.71 1.07 1.08 1.16 0.80 0.70 ]
43 45 5 13 7 [ 21 84 105 147 231 273 ] [ 0.51 0.92 1.15 1.07 1.12 0.97 0.75 ]
45 43 5 13 7 [ 21 147 252 294 336 399 ] [ 0.71 0.78 1.24 1.19 1.37 0.81 0.50 ]
45 46 10 33 7 [ 42 210 336 357 378 399 ] [ 0.75 0.90 1.16 0.97 1.30 0.95 0.54 ]
